date,city,scenario,temperature_f,precip_mm
1881-10,San Diego,ssp126,61.7,0.5233
1881-11,San Diego,ssp126,62.18,0.4278
1881-12,San Diego,ssp126,61.83,0.4174
1882-01,San Diego,ssp126,61.83,0.4258
1882-02,San Diego,ssp126,61.94,0.4232
1882-03,San Diego,ssp126,62.43,0.3634
1882-04,San Diego,ssp126,62.49,0.3634
1882-05,San Diego,ssp126,62.62,0.2988
1882-06,San Diego,ssp126,62.88,0.236
1882-07,San Diego,ssp126,62.77,0.192
1882-08,San Diego,ssp126,62.79,0.2837
1882-09,San Diego,ssp126,62.84,0.3364
1882-10,San Diego,ssp126,62.35,0.3522
1882-11,San Diego,ssp126,61.82,0.3522
1882-12,San Diego,ssp126,61.8,0.3389
1883-01,San Diego,ssp126,61.69,0.3351
1883-02,San Diego,ssp126,61.7,0.3372
1883-03,San Diego,ssp126,61.56,0.3269
1883-04,San Diego,ssp126,61.69,0.4514
1883-05,San Diego,ssp126,61.36,0.4516
1883-06,San Diego,ssp126,61.15,0.465
1883-07,San Diego,ssp126,60.74,0.4902
1883-08,San Diego,ssp126,60.36,0.5617
1883-09,San Diego,ssp126,59.92,0.6586
1883-10,San Diego,ssp126,59.91,0.7421
1883-11,San Diego,ssp126,60.14,0.7362
1883-12,San Diego,ssp126,60.17,0.7964
1884-01,San Diego,ssp126,60.24,0.8019
1884-02,San Diego,ssp126,60.26,0.8027
1884-03,San Diego,ssp126,60.3,0.8304
1884-04,San Diego,ssp126,60.11,0.7099
1884-05,San Diego,ssp126,60.09,0.7092
1884-06,San Diego,ssp126,59.9,0.7988
1884-07,San Diego,ssp126,59.96,0.7322
1884-08,San Diego,ssp126,59.93,0.5671
1884-09,San Diego,ssp126,60.45,0.4418
1884-10,San Diego,ssp126,60.31,0.5131
1884-11,San Diego,ssp126,59.88,0.6325
1884-12,San Diego,ssp126,59.81,0.585
1885-01,San Diego,ssp126,59.94,0.5718
1885-02,San Diego,ssp126,59.97,0.5684
1885-03,San Diego,ssp126,59.73,0.5404
1885-04,San Diego,ssp126,59.67,0.5336
1885-05,San Diego,ssp126,59.36,0.6453
1885-06,San Diego,ssp126,59.53,0.5792
1885-07,San Diego,ssp126,59.55,0.653
1885-08,San Diego,ssp126,59.89,0.6944
1885-09,San Diego,ssp126,59.64,0.684
1885-10,San Diego,ssp126,59.94,0.5207
1885-11,San Diego,ssp126,60.69,0.4089
1885-12,San Diego,ssp126,60.81,0.3982
1886-01,San Diego,ssp126,61.14,0.3984
1886-02,San Diego,ssp126,60.91,0.4001
1886-03,San Diego,ssp126,61.1,0.4023
1886-04,San Diego,ssp126,60.95,0.4071
1886-05,San Diego,ssp126,61.15,0.3813
1886-06,San Diego,ssp126,61.21,0.4393
1886-07,San Diego,ssp126,61.78,0.3654
1886-08,San Diego,ssp126,62.22,0.3289
1886-09,San Diego,ssp126,62.51,0.3169
1886-10,San Diego,ssp126,62.59,0.4658
1886-11,San Diego,ssp126,62.51,0.4804
1886-12,San Diego,ssp126,62.65,0.4907
1887-01,San Diego,ssp126,62.25,0.4986
1887-02,San Diego,ssp126,62.38,0.4965
1887-03,San Diego,ssp126,62.39,0.505
1887-04,San Diego,ssp126,62.57,0.4996
1887-05,San Diego,ssp126,62.8,0.5147
1887-06,San Diego,ssp126,62.95,0.4823
1887-07,San Diego,ssp126,62.94,0.5593
1887-08,San Diego,ssp126,62.57,0.8659
1887-09,San Diego,ssp126,62.41,0.8739
1887-10,San Diego,ssp126,62.31,0.7916
1887-11,San Diego,ssp126,61.97,0.8959
1887-12,San Diego,ssp126,61.99,0.8903
1888-01,San Diego,ssp126,62.14,0.8855
1888-02,San Diego,ssp126,62.44,0.8902
1888-03,San Diego,ssp126,62.48,0.88
1888-04,San Diego,ssp126,62.99,0.8883
1888-05,San Diego,ssp126,62.91,0.8678
1888-06,San Diego,ssp126,62.9,0.9552
1888-07,San Diego,ssp126,62.54,0.9051
